shift_cm_inverse,intensity
2994.5,0.4279
2997.3,0.4279
3000.0,0.4287
3002.7,0.4279
3005.5,0.4279
3008.2,0.4279
3011.0,0.4279
3013.7,0.4279
3016.4,0.4279
3019.2,0.4279
3021.9,0.4279
3024.7,0.4279
3027.4,0.4279
3030.1,0.4279
3032.9,0.4279
3035.6,0.4279
3038.4,0.4279
3041.1,0.4279
3043.8,0.4279
3046.6,0.4279
3049.3,0.4279
3052.1,0.4279
3054.8,0.4279
3057.5,0.4279
3060.3,0.4279
3063.0,0.4279
3065.8,0.4279
3068.5,0.4279
3071.2,0.4279
3074.0,0.4279
3076.7,0.4279
3079.5,0.4279
3082.2,0.4279
3084.9,0.4279
3087.7,0.4279
3090.4,0.4279
3093.2,0.4279
3095.9,0.4279
3098.6,0.4279
3101.4,0.4279
3104.1,0.4279
3106.8,0.4279
3109.6,0.4279
3112.3,0.4279
3115.1,0.4279
3117.8,0.4279
3120.5,0.4279
3123.3,0.4279
3126.0,0.4279
3128.8,0.4279
3131.5,0.4279
3134.2,0.4279
3137.0,0.4279
3139.7,0.4279
3142.5,0.4279
3145.2,0.4279
3147.9,0.4279
3150.7,0.4279
3153.4,0.4279
3156.2,0.4279
3158.9,0.4279
3161.6,0.4279
3164.4,0.4279
3167.1,0.4279
3169.9,0.4279
3172.6,0.4279
3175.3,0.4279
3178.1,0.4279
3180.8,0.4279
3183.6,0.4279
3186.3,0.4287
3189.0,0.4279
3191.8,0.4279
3194.5,0.4279
3197.3,0.4279
3200.0,0.4279
3202.7,0.4279
3205.5,0.4279
3208.2,0.4279
3211.0,0.4279
3213.7,0.4279
3216.4,0.4279
3219.2,0.4279
3221.9,0.4279
3224.7,0.4279
3227.4,0.4295
3230.1,0.4295
3232.9,0.4304
3235.6,0.4329
3238.4,0.4362
3241.1,0.4388
3243.8,0.4438
3246.6,0.4471
3249.3,0.4471
3252.1,0.4430
3254.8,0.4388
3257.5,0.4329
3260.3,0.4304
3263.0,0.4295
3265.8,0.4287
3268.5,0.4295
3271.2,0.4279
3274.0,0.4279
3276.7,0.4279
3279.5,0.4279
3282.2,0.4279
3284.9,0.4279
3287.7,0.4279
3290.4,0.4279
3293.2,0.4279
3295.9,0.4279
3298.6,0.4279
3301.4,0.4279
3304.1,0.4279
3306.8,0.4279
3309.6,0.4279
3312.3,0.4279
3315.1,0.4279
3317.8,0.4279
3320.5,0.4279
3323.3,0.4279
3326.0,0.4279
3328.8,0.4279
3331.5,0.4279
3334.2,0.4279
3337.0,0.4279
3339.7,0.4279
3342.5,0.4279
3345.2,0.4279
3347.9,0.4279
3350.7,0.4279
3353.4,0.4279
3356.2,0.4279
3358.9,0.4279
3361.6,0.4279
3364.4,0.4279
3367.1,0.4279
3369.9,0.4279
3372.6,0.4279
3375.3,0.4279
3378.1,0.4279
3380.8,0.4279
3383.6,0.4279
3386.3,0.4279
3389.0,0.4279
3391.8,0.4279
3394.5,0.4279
3397.3,0.4279
3400.0,0.4270
3402.7,0.4270
